,Country,ADD,Pork1,Pork2,Poultry1,Poultry2,Beef1,Beef2,LambGoat1,LambGoat2,Fish1,Fish2,Eggs1,Eggs2,Dairy1,Dairy2,AnimalTotal,Wheat1,Wheat2,Rice1,Rice2,Soy1,Soy2,Nuts1,Nuts2,NonAnimalTotal,Difference Animal_Nonanimal
100,Uganda,,3.37,11.93,1.51,1.62,5.15,158.92,1.25,43.77,12.5,19.96,0.97,0.89,37.27,53.09,290.18,10.14,1.93,4.64,5.94,0.01,0,3.77,6.67,14.55,275.63
101,Nepal,,0.67,2.37,1.56,1.68,7.89,243.47,2.1,73.54,2.17,3.46,1.42,1.3,52.1,74.21,400.04,50.46,9.62,87.75,112.29,0.01,0,2.42,4.28,126.2,273.83
102,Iran,,0,0,25.38,27.26,3.58,110.47,3.69,129.22,9.8,15.65,7.7,7.07,46.69,66.51,356.18,153.31,29.24,29.95,38.33,0,0,12.16,21.52,89.09,267.1
103,United Republic of Tanzania,,0.32,1.13,1.84,1.98,6.09,187.92,1.28,44.83,5.5,8.78,0.58,0.53,40.29,57.39,302.56,15.94,3.04,21.01,26.89,0.04,0.02,5.94,10.51,40.46,262.1
104,Senegal,,0.94,3.33,4.62,4.96,5.85,180.52,3.19,111.71,22.94,36.63,1.63,1.5,16.86,24.02,362.66,37.32,7.12,72.29,92.51,0,0,4.03,7.13,106.76,255.9
105,Peru,,3.85,13.63,11.72,12.59,4.69,144.72,1,35.02,15.74,25.13,8.76,8.05,62.15,88.53,327.67,56.12,10.7,48.92,62.6,1.59,0.72,0.65,1.15,75.17,252.49
106,Nicaragua,,3.38,11.96,21.31,22.89,4.73,145.96,0.01,0.35,3.59,5.73,4.9,4.5,85.16,121.3,312.7,28.17,5.37,43.33,55.45,0.01,0,2.36,4.18,65,247.69
107,Vietnam,,35,123.88,12.36,13.28,7.44,229.58,0.14,4.9,26.52,42.34,3.84,3.53,16.36,23.3,440.82,10.49,2,144.56,184.99,5.75,2.59,6.28,11.12,200.7,240.12
108,Ethiopia,,0.02,0.07,0.66,0.71,3.61,111.4,1.57,54.98,0.24,0.38,0.36,0.33,44.14,62.87,230.74,31.26,5.96,2.25,2.88,0.45,0.2,1.21,2.14,11.18,219.56
109,Myanmar,,11.31,40.03,21.87,,4.94,152.44,0.89,31.17,54.26,86.64,6.45,5.92,31.48,44.84,384.53,6.22,1.19,132.8,169.94,0.38,0.17,4.5,7.97,179.27,205.26
